id,neighbourhood_cleansed,room_type,price_clean,accommodates,bedrooms,beds,availability_365,number_of_reviews,review_scores_rating,latitude,longitude,instant_bookable,host_is_superhost,estimated_revenue_l365d
677851624981459909,Mira Mesa,Entire home/apt,173.0,3,1.0,2.0,205,9,5.0,32.91739,-117.14004,f,t,10726.0
678123894237054573,Midtown,Entire home/apt,180.0,4,2.0,2.0,260,6,5.0,32.74625368255313,-117.15211566934164,t,f,11160.0
678372715556021448,La Jolla,Entire home/apt,1749.0,4,2.0,2.0,365,0,,32.81016170000001,-117.2675152,t,f,0.0
678437624827001871,Clairemont Mesa,Entire home/apt,104.0,2,1.0,1.0,364,3,4.67,32.82906,-117.18364,f,f,0.0
678598441551168785,Sorrento Valley,Entire home/apt,85.0,1,1.0,1.0,309,4,5.0,32.89957,-117.16482,f,f,10540.0
678893885159014793,Mission Bay,Entire home/apt,532.0,6,2.0,3.0,241,73,4.85,32.7675923,-117.2507558,f,t,135660.0
678906491792481545,Loma Portal,Entire home/apt,160.0,4,1.0,2.0,256,147,4.93,32.7501699,-117.2409493,f,,40320.0
678915441201557859,Loma Portal,Entire home/apt,126.0,4,1.0,2.0,220,116,4.9,32.750292,-117.2409695,f,,18900.0
678927527725867469,Del Mar Heights,Entire home/apt,1030.0,6,3.0,3.0,364,0,,32.94185,-117.25792,t,f,0.0
679000043282958190,Marina,Entire home/apt,143.0,4,1.0,1.0,90,35,4.86,32.7111,-117.16219,f,f,0.0
679120210720343296,Pacific Beach,Entire home/apt,188.0,8,2.0,4.0,140,147,4.95,32.7960471,-117.2336114,f,t,47940.0
679726230541569639,North City,Entire home/apt,1099.0,7,3.0,5.0,364,11,4.45,32.96577,-117.23543,f,f,26376.0
679966636028227995,Cortez Hill,Entire home/apt,99.0,6,1.0,3.0,149,49,4.78,32.7195552,-117.1590088,t,,12474.0
679995482533706304,Cortez Hill,Entire home/apt,108.0,2,0.0,1.0,157,58,4.69,32.7195558,-117.1590086,f,,13608.0
680013344222400398,Cortez Hill,Entire home/apt,97.0,4,1.0,2.0,158,72,4.68,32.7198,-117.15813,f,,11058.0
680020251270340667,Core,Entire home/apt,253.0,8,2.0,6.0,142,39,4.77,32.71856,-117.1584,f,,21252.0
